Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,117132788,1500.4884264367095,2897425,37.11644496132358,366783,2600839,33.31713421288346,60330,0.7728362682439236,6241,
United States of America,Americas,28825174,8708.44,479589,144.89,124208,522469,157.84,11545,3.49,844,Community transmission
India,South-East Asia,11262707,816.14,123191,8.93,17921,158063,11.45,717,0.05,133,Clusters of cases
Brazil,Americas,11051665,5199.33,500406,235.42,32321,266398,125.33,11456,5.39,987,Community transmission
Russian Federation,Europe,4342474,2975.63,74259,50.89,9445,89809,61.54,2913,2,336,Clusters of cases
The United Kingdom,Europe,4223236,6221.07,41223,60.72,4712,124566,183.49,1613,2.38,65,Community transmission
France,Europe,3841807,5885.71,146683,224.72,5327,88269,135.23,1908,2.92,170,Community transmission
Spain,Europe,3160970,6760.74,29499,63.09,1161,71436,152.79,431,0.92,12,Community transmission
Italy,Europe,3081368,5096.39,142997,236.51,13882,100103,165.56,2158,3.57,318,Clusters of cases
Turkey,Europe,2793632,3312.38,82153,97.41,13215,29094,34.5,456,0.54,64,Community transmission
Germany,Europe,2509445,2995.14,58434,69.74,4252,72189,86.16,1726,2.06,255,Community transmission
Colombia,Americas,2278861,4478.64,23601,46.38,2205,60598,119.09,732,1.44,95,Community transmission
Argentina,Americas,2162001,4783.64,43325,95.86,7307,53252,117.83,1060,2.35,131,Community transmission
Mexico,Americas,2130477,1652.39,41196,31.95,1877,190923,148.08,4771,3.7,319,Community transmission
Poland,Europe,1811036,4785.2,91328,241.31,9953,45599,120.48,1591,4.2,282,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1706559,2031.79,58385,69.51,8554,60867,72.47,600,0.71,81,Community transmission
South Africa,Africa,1521706,2565.74,7747,13.06,638,50803,85.66,726,1.22,125,Community transmission
Ukraine,Europe,1410061,3224.19,52591,120.25,3261,27204,62.2,992,2.27,76,Community transmission
Indonesia,South-East Asia,1392945,509.26,45919,16.79,6389,37757,13.8,1239,0.45,210,Community transmission
Peru,Americas,1374467,4168.61,41528,125.95,3291,47973,145.5,1288,3.91,119,Community transmission
Czechia,Europe,1335815,12473.78,83573,780.4,10524,22147,206.81,1446,13.5,265,Community transmission
Netherlands,Europe,1123909,6559.19,31643,184.67,3924,15859,92.55,276,1.61,26,Community transmission
Canada,Americas,890698,2359.96,20665,54.75,4124,22276,59.02,259,0.69,37,Community transmission
Chile,Americas,864064,4520.06,31552,165.05,3531,21182,110.81,498,2.61,19,Community transmission
Romania,Europe,830563,4317.37,26473,137.61,2280,20963,108.97,560,2.91,63,Community transmission
Portugal,Europe,810459,7948.24,5503,53.97,365,16565,162.45,214,2.1,25,Clusters of cases
Israel,Europe,800218,9245.16,13892,160.5,0,5881,67.94,84,0.97,0,Community transmission
Belgium,Europe,789008,6807.88,12662,109.25,0,22292,192.34,138,1.19,0,Community transmission
Iraq,Eastern Mediterranean,735626,1828.89,31848,79.18,4610,13618,33.86,160,0.4,22,Community transmission
Sweden,Europe,684961,6782.29,18726,185.42,0,13003,128.75,19,0.19,0,Community transmission
Philippines,Western Pacific,600428,547.93,19986,18.24,2665,12528,11.43,159,0.15,7,Community transmission
Pakistan,Eastern Mediterranean,593453,268.66,10925,4.95,1353,13281,6.01,343,0.16,54,Community transmission
Switzerland,Europe,562364,6497.85,5915,68.34,4,9294,107.39,28,0.32,0,Community transmission
Bangladesh,South-East Asia,552087,335.23,4771,2.9,912,8489,5.15,66,0.04,13,Community transmission
Serbia,Europe,489530,7029.68,26802,384.88,4091,4579,65.75,120,1.72,17,Community transmission
Morocco,Eastern Mediterranean,486833,1318.95,2674,7.24,508,8695,23.56,50,0.14,12,Clusters of cases
Hungary,Europe,475207,4919.15,39518,409.07,6494,16146,167.14,958,9.92,158,Community transmission
Austria,Europe,473785,5260.54,17247,191.5,1965,8561,95.05,131,1.45,23,Community transmission
Jordan,Eastern Mediterranean,442202,4333.98,39920,391.25,7072,5046,49.46,290,2.84,59,Community transmission
Japan,Western Pacific,441279,348.9,6923,5.47,608,8353,6.6,369,0.29,54,Clusters of cases
United Arab Emirates,Eastern Mediterranean,415705,4203.12,18934,191.44,2373,1345,13.6,92,0.93,10,Community transmission
Lebanon,Eastern Mediterranean,401810,5886.94,21791,319.26,3939,5134,75.22,329,4.82,45,Community transmission
Saudi Arabia,Eastern Mediterranean,380572,1093.16,2570,7.38,390,6539,18.78,34,0.1,5,Sporadic cases
Panama,Americas,345236,8001.27,3816,88.44,402,5934,137.53,76,1.76,11,Community transmission
Slovakia,Europe,323786,5930.54,12784,234.15,0,7921,145.08,533,9.76,0,Clusters of cases
Malaysia,Western Pacific,316269,977.16,12134,37.49,1280,1186,3.66,45,0.14,9,Clusters of cases
Belarus,Europe,296441,3137.17,8174,86.5,930,2047,21.66,62,0.66,9,Community transmission
Ecuador,Americas,295114,1672.69,8389,47.55,496,16069,91.08,219,1.24,26,Community transmission
Nepal,South-East Asia,274869,943.37,575,1.97,59,3012,10.34,235,0.81,1,Clusters of cases
Georgia,Europe,273137,6846.97,1758,44.07,139,3601,90.27,69,1.73,10,Community transmission
Kazakhstan,Europe,268902,1432.1,4724,25.16,0,3456,18.41,67,0.36,0,Clusters of cases
Bulgaria,Europe,263303,3789.38,13677,196.84,2995,10764,154.91,456,6.56,150,Clusters of cases
Bolivia (Plurinational State of),Americas,254736,2182.26,4969,42.57,463,11845,101.47,179,1.53,22,Community transmission
Croatia,Europe,247099,6019.07,3641,88.69,491,5621,136.92,73,1.78,12,Community transmission
Dominican Republic,Americas,243778,2247.23,3577,32.97,252,3191,29.42,73,0.67,12,Community transmission
Tunisia,Eastern Mediterranean,238613,2018.96,4382,37.08,596,8268,69.96,221,1.87,43,Community transmission
Azerbaijan,Europe,236963,2337.1,1949,19.22,0,3247,32.02,22,0.22,0,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,226734,4444.53,14249,279.31,1828,2400,47.05,119,2.33,13,Community transmission
Ireland,Europe,223651,4529.38,3378,68.41,432,4422,89.55,103,2.09,0,Community transmission
